a "3 bins" c "10 bins" e
CFFf 1.040 0.00210 1.026 0.00097
CNFL 1.277 0.01326 1.273 0.00146
CFFf 1.040 0.00210 1.026 0.00097
CNFL 1.277 0.00163 1.270 0.00146
