a "3 bins" c "10 bins" e
0 1.2560076514851486 0.0054196672659179695 1.1765986465346534 0.004875642198072439
1 1.1658186782178217 0.00394264924833896 1.1143254673267327 0.0034485119004960293
2 1.129685498019802 0.003157742838554228 1.0891096475247524 0.0026945883271839222
3 1.0948857 0.0025084450181030705 1.0651684217821782 0.002065375146386601
4 1.0760660821782178 0.002108081746179008 1.052850717821782 0.0017471320365967358
5 1.0629511594059406 0.0018726482183843481 1.043849005940594 0.0014696828226590914
6 1.0557238306930694 0.0016886756884267 1.0384538891089108 0.0013119612202149903
7 1.049062993069307 0.0014957021888350795 1.0338141900990099 0.001166825739329156
8 1.0445173831683168 0.0014088151792440175 1.0304006168316833 0.0011116557078807267
9 1.0403462316831684 0.0013146671596603874 1.0274811425742574 9.97785361420993E-4
10 1.0371726623762376 0.0013156419567412314 1.0254422267326733 9.65987931933779E-4
