a "3 bins" c "10 bins" e
CIFFD 11377.443 32.9442393474785 10970.648 27.431354260461458
CDNFL 11454.5 19.34117595927113 11462.8 20.48306473565329
CFFf 10868.913 33.7971787478279 11054.699 35.44480450824099
CNFL 13497.2 35.37864904475928 13491.5 37.073999123523365
