a "3 bins" c "10 bins" e
CIFFD 11110.649 37.425942782306734 10501.381 20.34631278616354
CDNFL 11469.5 20.790002949076815 11461.7 20.175474797072123
CFFf 10815.713 32.67732794635927 10972.63 34.45087503507747
CNFL 13493.1 35.93304224834315 13495.5 35.81026810429798
